ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1430498340.75077,dbt2,21603,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.330668+01,,2015-05-01 17:39:00.74309+01,f,COMMIT,idle,2015-05-01 17:39:00.745422+01
1430498340.75077,dbt2,21606,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.429215+01,2015-05-01 17:39:00.747491+01,2015-05-01 17:39:00.747521+01,f,"SELECT payment(1, 9, 2048, 1, 9, '', 4783.010000)",idle in transaction,2015-05-01 17:39:00.751998+01
1430498340.75077,dbt2,21608,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.529423+01,,2015-05-01 17:39:00.748931+01,f,COMMIT,idle,2015-05-01 17:39:00.751507+01
1430498340.75077,dbt2,21610,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.629535+01,,2015-05-01 17:39:00.718087+01,f,COMMIT,idle,2015-05-01 17:39:00.719316+01
1430498340.75077,dbt2,21612,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.729654+01,,2015-05-01 17:39:00.737052+01,f,COMMIT,idle,2015-05-01 17:39:00.738691+01
1430498340.75077,dbt2,21614,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.829736+01,,2015-05-01 17:39:00.717556+01,f,COMMIT,idle,2015-05-01 17:39:00.718048+01
1430498340.75077,dbt2,21616,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.929921+01,,2015-05-01 17:39:00.739719+01,f,COMMIT,idle,2015-05-01 17:39:00.74132+01
1430498340.75077,dbt2,21618,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.030066+01,,2015-05-01 17:39:00.696845+01,f,COMMIT,idle,2015-05-01 17:39:00.706092+01
1430498340.75077,dbt2,21620,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.130175+01,,2015-05-01 17:39:00.713044+01,f,COMMIT,idle,2015-05-01 17:39:00.718075+01
1430498340.75077,dbt2,21622,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.230252+01,,2015-05-01 17:39:00.748839+01,f,COMMIT,idle,2015-05-01 17:39:00.749992+01
1430498340.75077,dbt2,21624,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.330401+01,,2015-05-01 17:39:00.712271+01,f,COMMIT,idle,2015-05-01 17:39:00.715132+01
1430498340.75077,dbt2,21759,10,mark,psql,,-1,2015-05-01 17:39:00.74949+01,2015-05-01 17:39:00.750773+01,2015-05-01 17:39:00.750773+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-01 17:39:00.750777+01
1430498340.75077,dbt2,21678,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.430469+01,2015-05-01 17:39:00.752255+01,2015-05-01 17:39:00.752255+01,f,BEGIN,active,2015-05-01 17:39:00.752256+01
1430498340.75077,dbt2,21682,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.530572+01,2015-05-01 17:39:00.752037+01,2015-05-01 17:39:00.752067+01,f,"DECLARE mycursor CURSOR FOR SELECT new_order(2, 5, 1402, 1, 14, make_new_order_info(94204, 2, 4), make_new_order_info(57344, 2, 10), make_new_order_info(93352, 2, 8), make_new_order_info(49024, 2, 1), make_new_order_info(27390, 2, 3), make_new_order_info(22656, 2, 9), make_new_order_info(45011, 2, 5), make_new_order_info(8191, 2, 6), make_new_order_info(79840, 2, 6), make_new_order_info(52216, 2, 4), make_new_order_info(73119, 2, 5), make_new_order_info(6144, 2, 2), make_new_order_info(87886, 2, 4), make_new_order_info(40636, 2, 4), make_new_order_info(0, 0, 0) )",idle in transaction,2015-05-01 17:39:00.752218+01
1430498340.75077,dbt2,21720,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.631613+01,,2015-05-01 17:39:00.730579+01,f,COMMIT,idle,2015-05-01 17:39:00.736251+01
1430498340.75077,dbt2,21758,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.750211+01,,,f,"",idle,2015-05-01 17:39:00.751442+01
1430498400.76188,dbt2,21603,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.330668+01,2015-05-01 17:40:00.744277+01,2015-05-01 17:40:00.744302+01,t,"SELECT payment(1, 6, 988, 1, 6, '', 1708.960000)",active,2015-05-01 17:40:00.744302+01
1430498400.76188,dbt2,21606,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.429215+01,2015-05-01 17:40:00.726336+01,2015-05-01 17:40:00.726361+01,f,"SELECT payment(1, 5, 0, 1, 5, 'BARABLEOUGHT', 1811.980000)",idle in transaction,2015-05-01 17:40:00.761953+01
1430498400.76188,dbt2,21608,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.529423+01,2015-05-01 17:40:00.747221+01,2015-05-01 17:40:00.747244+01,t,"SELECT payment(2, 1, 0, 1, 2, 'EINGEINGEING', 2551.630000)",active,2015-05-01 17:40:00.747244+01
1430498400.76188,dbt2,21610,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.629535+01,2015-05-01 17:40:00.75597+01,2015-05-01 17:40:00.758765+01,t,"SELECT payment(2, 7, 0, 2, 7, 'ABLEABLEABLE', 1665.860000)",active,2015-05-01 17:40:00.758766+01
1430498400.76188,dbt2,21612,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.729654+01,2015-05-01 17:40:00.722446+01,2015-05-01 17:40:00.722705+01,t,"SELECT payment(1, 6, 0, 1, 6, 'OUGHTEINGOUGHT', 2989.030000)",active,2015-05-01 17:40:00.722706+01
1430498400.76188,dbt2,21614,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.829736+01,2015-05-01 17:40:00.73288+01,2015-05-01 17:40:00.733037+01,f,"SELECT payment(2, 1, 8, 2, 1, '', 4827.750000)",idle in transaction,2015-05-01 17:40:00.761185+01
1430498400.76188,dbt2,21616,10,mark,dbt2-client,,-1,2015-05-01 17:38:59.929921+01,2015-05-01 17:40:00.761381+01,2015-05-01 17:40:00.762016+01,f,FETCH ALL IN mycursor,active,2015-05-01 17:40:00.762017+01
1430498400.76188,dbt2,21618,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.030066+01,,2015-05-01 17:40:00.760198+01,f,COMMIT,idle,2015-05-01 17:40:00.761664+01
1430498400.76188,dbt2,21620,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.130175+01,2015-05-01 17:40:00.751783+01,2015-05-01 17:40:00.752261+01,t,"SELECT payment(1, 3, 2336, 1, 3, '', 3051.570000)",active,2015-05-01 17:40:00.752262+01
1430498400.76188,dbt2,21622,10,mark,dbt2-client,,-1,2015-05-01 17:39:00.230252+01,2015-05-01 17:40:00.74051+01,2015-05-01 17:40:00.740536+01,t,"SELECT payment(1, 5, 1662, 1, 5, '', 4442.800000)",active,2015-05-01 17:40:00.740536+01
